PLAYERID,PLAYER_SLUG,POSITIONS
1466657,garcia-mario,DL
1010792,alvaro-mantilla,DR
1010792,alvaro-mantilla,DC
1017339,castro-javier,DC
786969,jokin-ezkieta,GK
867518,miquel-parera,GK
344129,jose-luis-morales,ST
942111,mohamed-bouldini,ST
888930,dani-gomez,ST
975351,fabricio-santos,ST
1014042,ivan-romero,ST
980143,alejandro-cantero,ST
886402,giorgi-kochorashvili,MC
886402,giorgi-kochorashvili,DM
32690,vicente-iborra,MC
32690,vicente-iborra,DM
1010656,carlos-alvarez,AM
1010656,carlos-alvarez,LW
1010656,carlos-alvarez,RW
914749,sergio-lozano,MC
914749,sergio-lozano,ML
927066,pablo-martinez,MC
859769,rey-oriol,MC
859769,rey-oriol,DM
909554,roger-brugue,RW
909554,roger-brugue,MR
909554,roger-brugue,ST
966219,angel-algobia,MC
383406,rober-ibanez,RW
964845,oscar-clemente,AM
964845,oscar-clemente,LW
964845,oscar-clemente,RW
964845,oscar-clemente,MR
964845,oscar-clemente,ML
1457536,andres-garcia,MR
997244,adrian-de-la-fuente,DC
1464651,xavi-grande,DR
1807070,jorge-cabello,DC
31406,andres-fernandez,GK
1016019,fernando-nino,ST
826655,curro,ST
826655,curro,RW
826655,curro,MR
1134399,ander-martin,ML
1134399,ander-martin,MC
1134399,ander-martin,DL
1134399,ander-martin,ST
1134399,ander-martin,AM
1134399,ander-martin,LW
943253,espiau-eduardo,ST
913684,miguel-atienza,MC
913684,miguel-atienza,DM
850025,daniel-ojeda,MR
850025,daniel-ojeda,ML
862992,appin-kevin,MC
1398518,alex-sancris,MR
1398518,alex-sancris,RW
1394064,javi-lopez-pinto,ST
829892,anderson-arroyo,DR
829892,anderson-arroyo,DC
597618,aitor-cordoba-querejeta,DC
914196,raul-navarro,DR
914196,raul-navarro,MC
822884,loic-badiashile,GK
188349,ander-cantero,GK
83687,alvaro-gimenez,ST
900005,christian-borrego,ST
809148,nacho-sanchez,RW
930266,alvaro-sanz-catalan,MC
138381,alvaro-vadillo,LW
138381,alvaro-vadillo,RW
349436,josep-sene,MC
349436,josep-sene,DM
791988,de-la-manzanara-francisco,MC
791988,de-la-manzanara-francisco,DM
