PLAYERID,PLAYER_SLUG,STRENGTHS
1153270,fermin-lopez,Long balls
69416,oriol-romeu,Long balls
1082981,pablo-torre,Passing
925097,ronald-araujo,Ground duels
827212,jules-kounde,Consistency
186795,andreas-christensen,Long balls
186795,andreas-christensen,Aerial duels
876214,eric-garcia,Ground duels
1002564,mikayil-faye,Ground duels
580550,clement-lenglet,Ground duels
978150,julian-araujo,Ground duels
1142238,valle-alex,Ground duels
88625,marc-andre-ter-stegen,Handling
88625,marc-andre-ter-stegen,Long shots saving
88625,marc-andre-ter-stegen,Reflexes
794949,inaki-pena,High claims
1142253,ander-astralaga,Long shots saving
798820,artem-dovbyk,Penalty taking
798820,artem-dovbyk,Finishing
32048,cristhian-stuani,Penalty taking
1106573,jhon-solis,Long balls
1008037,ilyas-chaira,High pressing
1134431,oscar-urena,Ground duels
44864,daley-blind,Ground duels
1084081,arnau-martinez,Ground duels
856250,ladislav-krejci,Penalty taking
856250,ladislav-krejci,Ground duels
135116,david-lopez,Ground duels
164343,paulo-gazzaniga,Long shots saving
85859,antoine-griezmann,Long balls
85859,antoine-griezmann,Playmaking
85859,antoine-griezmann,Positioning
125407,alvaro-morata,Aerial duels
874705,samuel-lino,Passing
874705,samuel-lino,Consistency
874705,samuel-lino,Positioning
1099352,giuliano-simeone,High pressing
1131581,carlos-martin,Finishing
1131581,carlos-martin,Positioning
249399,rodrigo-de-paul,Ground duels
249399,rodrigo-de-paul,Playmaking
249399,rodrigo-de-paul,Long balls
84539,koke,Playmaking
84539,koke,Long balls
1149127,arthur-vermeeren,Long balls
1149127,arthur-vermeeren,High pressing
1149127,arthur-vermeeren,Playmaking
191182,thomas-lemar,Passing
35612,axel-witsel,Ground duels
325355,jose-maria-gimenez,Long balls
831424,reinildo-mandava,Tackling
831424,reinildo-mandava,Ground duels
1468046,santiago-mourino,Ground duels
69768,jan-oblak,Handling
69768,jan-oblak,Consistency
69768,jan-oblak,Reflexes
857065,horatiu-moldovan,Handling
857065,horatiu-moldovan,Reflexes
857065,horatiu-moldovan,Long shots saving
605672,gorka-guruzeta,Consistency
605672,gorka-guruzeta,Positioning
783374,inaki-williams,High pressing
1085400,nico-williams,High pressing
1085400,nico-williams,Playmaking
966801,oihan-sancet,High pressing
966801,oihan-sancet,Long balls
359742,mikel-vesga,Long balls
807648,yeray-alvarez,Ground duels
797291,unai-simon,Penalty saving
797291,unai-simon,Reflexes
797291,unai-simon,Handling
1014412,julen-agirrezabala,Handling
1014412,julen-agirrezabala,High claims
1014412,julen-agirrezabala,Reflexes
352544,sheraldo-becker,High pressing
880218,kubo-takefusa,Playmaking
880218,kubo-takefusa,High pressing
855835,sergio-gomez,Passing
966837,martin-zubimendi,Positioning
592010,mikel-merino,High pressing
592010,mikel-merino,Positioning
845385,brais-mendez,High pressing
845385,brais-mendez,Playmaking
845385,brais-mendez,Direct free kicks
944165,robert-navarro,High pressing
980410,benat-turrientes,Long balls
966836,alex-sola,Ground duels
791773,alex-remiro,Handling
791773,alex-remiro,Reflexes
791773,alex-remiro,Long shots saving
785989,borja-iglesias,Anchor play
103417,isco,Playmaking
103417,isco,Passing
103417,isco,Consistency
337671,nabil-fekir,Playmaking
337671,nabil-fekir,Passing
859767,alex-collado,High pressing
859767,alex-collado,Long balls
859767,alex-collado,Playmaking
137978,william-carvalho,Long balls
345195,ayoze-perez,High pressing
990169,johnny,Positioning
1031421,rodri-sanchez,Passing
1031421,rodri-sanchez,Long balls
305278,diego-llorente,Ground duels
309078,alexander-sorloth,Positioning
309078,alexander-sorloth,Aerial duels
309078,alexander-sorloth,Finishing
146866,gerard-moreno,Playmaking
146866,gerard-moreno,Long balls
910031,alejandro-baena,Playmaking
39182,dani-parejo,Penalty taking
39182,dani-parejo,Playmaking
39182,dani-parejo,Long balls
942836,haissem-hassan,Long balls
843678,santi-comesana,Long balls
153966,manu-trigueros,Passing
122810,aissa-mandi,Long balls
868715,jorge-cuenca,Ground duels
980732,altimira-adria,Ground duels
980732,altimira-adria,Long balls
962053,filip-jorgensen,Long shots saving
951008,diego-conde,Reflexes
951008,diego-conde,Handling
951008,diego-conde,High claims
845693,andre-almeida,Passing
845693,andre-almeida,Positioning
845693,andre-almeida,High pressing
826948,pepelu,Positioning
826948,pepelu,Playmaking
826948,pepelu,Penalty taking
998950,diego-lopez,High pressing
790833,sergi-canos,High pressing
227922,jose-luis-gaya,Tackling
227922,jose-luis-gaya,Ground duels
953097,cenk-ozkacar,Ground duels
851282,correia-thierry,Tackling
851282,correia-thierry,Ground duels
1144630,cristhian-mosquera,Ground duels
996928,cesar-tarrega,Consistency
930997,giorgi-mamardashvili,Long shots saving
930997,giorgi-mamardashvili,High claims
873717,carlos-benavidez,Tackling
873717,carlos-benavidez,Positioning
1084399,vicente-carlos,Playmaking
1084399,vicente-carlos,High pressing
896073,nahuel-tenaglia,Ground duels
990659,jesus-owono,Consistency
369004,antonio-sivera,Reflexes
37318,ante-budimir,Positioning
1086346,iker-benito,Passing
1086346,iker-benito,Positioning
149370,moi-gomez,Passing
985329,aimar-oroz,High pressing
187313,lucas-torro,Positioning
1119586,iker-munoz,Ground duels
591136,david-garcia,Aerial duels
294377,sergio-herrera,Long shots saving
811629,luis-milla,High pressing
811629,luis-milla,Positioning
811629,luis-milla,Passing
826047,jiri-letacek,Reflexes
19356,iago-aspas,Playmaking
19356,iago-aspas,High pressing
19356,iago-aspas,Long balls
894863,douvikas-anastasios,Finishing
794950,carles-perez,Passing
595576,jonathan-bamba,Playmaking
557008,franco-cervi,Ground duels
846492,luca-de-la-torre,Passing
1120669,hugo-sotelo,Passing
892521,unai-nunez,Positioning
892521,unai-nunez,Ground duels
360718,carl-starfelt,Positioning
360718,carl-starfelt,Ground duels
1002764,sergio-carreira,Ground duels
32023,vicente-guaita,Reflexes
32023,vicente-guaita,High claims
155702,lucas-ocampos,High pressing
96370,suso,Passing
96370,suso,Long balls
96370,suso,Playmaking
591750,joan-jordan,Long balls
875890,chidera-ejuke,Long balls
875890,chidera-ejuke,Passing
875890,chidera-ejuke,High pressing
997033,peque-fernandez,Penalty taking
11869,jesus-navas,Ground duels
1003007,tanguy-nianzou,Ground duels
1006489,loic-bade,Ground duels
1006489,loic-bade,Positioning
1010655,juanlu-sanchez,Ground duels
928672,adria-pedrosa,Ground duels
94527,marko-dmitrovic,High claims
310874,vedat-muriqi,Anchor play
310874,vedat-muriqi,Positioning
110783,sergi-darder,Playmaking
110783,sergi-darder,Ground duels
988351,samuel-costa,Positioning
826004,manu-morlanes,Ground duels
807116,antonio-raillo,Consistency
807116,antonio-raillo,Positioning
828239,toni-lato,Ground duels
913695,jose-copete,Tackling
188107,predrag-rajkovic,Reflexes
1131909,leo-roman,Handling
1131909,leo-roman,Long shots saving
19013,ivan-cuellar,Handling
19013,ivan-cuellar,Reflexes
188407,sandro-ramirez,Passing
1012444,alberto-moleiro,Passing
1012444,alberto-moleiro,Playmaking
552668,omenuke-mfulu,Ground duels
964985,kirian-rodriguez,Playmaking
933426,loiodice-enzo,High pressing
916654,manuel-fuster,Long shots
916654,manuel-fuster,Playmaking
916654,manuel-fuster,High pressing
925220,pejino,Long balls
979146,mika-marmol,Ground duels
1089453,saul-coco,Direct free kicks
1089453,saul-coco,Ground duels
914848,alex-suarez,Ground duels
914848,alex-suarez,Tackling
964983,alvaro-valles,Long shots saving
964983,alvaro-valles,Reflexes
964983,alvaro-valles,Handling
124950,bebe,Direct free kicks
913679,ismaila-ciss,Long balls
899982,isi-palazon,High pressing
345111,alvaro-garcia,High pressing
21949,oscar-trejo,High pressing
21949,oscar-trejo,Passing
900008,oscar-valentin,Positioning
88528,florian-lejeune,Ground duels
1010421,josep-chavarria,Ground duels
965832,dani-cardenas,Reflexes
965832,dani-cardenas,Handling
965832,dani-cardenas,Long shots saving
914819,chris-ramos,Positioning
349794,fali,Ground duels
800403,iza-carcelen,Ground duels
800987,matos,Ground duels
800987,matos,Tackling
847993,jose-antonio-caro,High claims
847993,jose-antonio-caro,Long shots saving
982327,dion-lopy,Long balls
848926,lucas-robertone,Playmaking
848926,lucas-robertone,Ground duels
848926,lucas-robertone,Positioning
129451,jonathan-viera,Playmaking
129451,jonathan-viera,Passing
129451,jonathan-viera,High pressing
989878,nicolas-melamed,Passing
987490,bruno-langa,Ground duels
1094106,marc-pubill,Ground duels
823996,aleksandar-radovanovic,Positioning
895533,myrto-uzuni,Penalty taking
895533,myrto-uzuni,Long shots
814385,lucas-boye,Positioning
861317,oscar-melendo,Passing
861317,oscar-melendo,Ground duels
144606,ignasi-miquel,Ground duels
934351,miguel-rubio,Ground duels
934351,miguel-rubio,Positioning
958018,roberto-lopez,High pressing
873947,dani-raba,Playmaking
885259,enric-franquesa,Ground duels
377234,sergio-gonzalez,Ground duels
592098,jorge-saenz,Ground duels
547246,juan-soriano,Long shots saving
547246,juan-soriano,High claims
547246,juan-soriano,Consistency
859774,monchu,Playmaking
859774,monchu,Long balls
921417,juric-stanko,Positioning
142018,ivan-sanchez,Ground duels
142018,ivan-sanchez,Passing
142018,ivan-sanchez,Long balls
814023,eray-comert,Ground duels
1067582,boyomo-flavien,Tackling
1067582,boyomo-flavien,Ground duels
970860,lucas-rosa,Ground duels
843180,luis-perez,Ground duels
788197,andre-ferreira,High claims
353262,jon-bautista,Positioning
566894,stoichkov,High pressing
795268,pereira-matheus,Playmaking
910975,peru-nolaskoain-esnal,Positioning
811572,jose-corpas,High pressing
1010772,sergio-cubero,Aerial duels
863276,daniel-fuzato,Long shots saving
863276,daniel-fuzato,High claims
990095,jon-mikel-magunagoitia,Consistency
66471,martin-braithwaite,Penalty taking
891511,javi-puado,Long balls
916136,alvaro-aguado,Long balls
966940,jose-gragera,Tackling
966940,jose-gragera,Positioning
1064026,omar-el-hilali,Tackling
1064026,omar-el-hilali,Ground duels
81992,leandro-cabrera,Consistency
857205,fernando-calero,Tackling
857205,fernando-calero,Ground duels
144501,fernando-pacheco,Penalty saving
930267,joan-garcia,Consistency
930267,joan-garcia,Handling
930267,joan-garcia,High claims
796512,juan-otero,Positioning
796512,juan-otero,High pressing
1118185,jonathan-varane,Ground duels
1031637,campos-gaspar,Long shots
807656,lander-olaetxea,Positioning
1152182,ignacio-martin,Long balls
826552,rober-pier,Ground duels
868227,eric-curbelo,Long balls
1010498,guille-rosas,Tackling
1010498,guille-rosas,Ground duels
112877,ruben-yanez,High claims
112877,ruben-yanez,Handling
1092984,paraschiv-daniel,High pressing
1092984,paraschiv-daniel,Penalty taking
1092984,paraschiv-daniel,Positioning
17651,santi-cazorla,Long balls
17651,santi-cazorla,Playmaking
17651,santi-cazorla,Passing
822379,santiago-colombatto,Ground duels
822379,santiago-colombatto,Playmaking
838636,jaime-seoane,Long balls
905639,kwasi-sibo,Positioning
758666,borja-sanchez,Long balls
345333,david-costas,Positioning
345333,david-costas,Aerial duels
560756,dani-calvo,Aerial duels
560756,dani-calvo,Ground duels
368922,aaron-escandell,Long shots saving
826568,quentin-braat,Reflexes
826568,quentin-braat,High claims
826568,quentin-braat,Handling
605674,inigo-vicente,High pressing
605674,inigo-vicente,Playmaking
605674,inigo-vicente,Consistency
1010420,aritz-aldasoro,Positioning
1010420,aritz-aldasoro,High pressing
851268,manu-hernando,Aerial duels
851268,manu-hernando,Positioning
867518,miquel-parera,Reflexes
867518,miquel-parera,Handling
867518,miquel-parera,High claims
975351,fabricio-santos,High pressing
886402,giorgi-kochorashvili,Long balls
32690,vicente-iborra,Long balls
1010656,carlos-alvarez,Long shots
1010656,carlos-alvarez,Playmaking
914749,sergio-lozano,Playmaking
927066,pablo-martinez,Playmaking
927066,pablo-martinez,Direct free kicks
997244,adrian-de-la-fuente,Consistency
31406,andres-fernandez,Long shots saving
31406,andres-fernandez,Handling
31406,andres-fernandez,Consistency
826655,curro,Penalty taking
826655,curro,Positioning
826655,curro,High pressing
913684,miguel-atienza,Positioning
597618,aitor-cordoba-querejeta,Ground duels
188349,ander-cantero,High claims
83687,alvaro-gimenez,Anchor play
930266,alvaro-sanz-catalan,Long balls
930266,alvaro-sanz-catalan,Ground duels
349436,josep-sene,Long balls
1100964,puric-aleksa,Aerial duels
1100964,puric-aleksa,Positioning
370244,moises-delgado,Ground duels
849577,jesus-ruiz-suarez,Long shots saving
849577,jesus-ruiz-suarez,Consistency
255235,oscar-plano,Positioning
989877,nicolas-castro,Consistency
989877,nicolas-castro,Long balls
989877,nicolas-castro,Playmaking
962411,nicolas-fernandez,High pressing
962411,nicolas-fernandez,Playmaking
286167,aleix-febas,Ground duels
1094758,john-nwankwo,Positioning
192430,carlos-clerc,Tackling
192430,carlos-clerc,Ground duels
141832,pedro-bigas,Aerial duels
141832,pedro-bigas,Ground duels
808955,josan,Ground duels
794942,alex-martin,Ground duels
811557,edgar-badia,Reflexes
913210,miguel-san-roman,Long shots saving
849573,enric-gallego,Penalty taking
966526,luismi-cruz,Playmaking
352654,alex-corredera,Long balls
83305,aitor-sanz,Tackling
83305,aitor-sanz,Positioning
988631,jeremy-mellot,Tackling
988631,jeremy-mellot,Ground duels
349126,tomeu-nadal,Long shots saving
116607,fidel,Playmaking
982575,antonio-pacheco,Ground duels
592064,jon-garcia,Positioning
129865,raul-lizoain,Handling
129865,raul-lizoain,Reflexes
131394,damian-musto,Positioning
85090,pedro-alcala,Ground duels
1085579,pablo-cunat,Long shots saving
1085579,pablo-cunat,Reflexes
1085579,pablo-cunat,Runs out
330673,maikel-mesa,Penalty taking
1014595,marc-aguado,Ground duels
1014595,marc-aguado,Positioning
949449,sergio-bermejo,Passing
1002347,alejandro-frances,Ground duels
759284,quentin-lecoeuche,Ground duels
40971,cristian-alvarez,Reflexes
40971,cristian-alvarez,Handling
877668,joan-femenias,Long shots saving
47625,david-timor,Positioning
1166968,sergio-ortuno,High pressing
944106,christian-montes,Passing
254819,alex-bernal,Ground duels
73682,dario-djumic,Ground duels
83704,marc-mateu,Ground duels
972451,hugo-vallejo,High pressing
912047,oscar-sielva,Direct free kicks
912047,oscar-sielva,Positioning
949901,ignasi-vilarrasa,Ground duels
811611,miguel-loureiro,Positioning
811611,miguel-loureiro,Tackling
1101440,mathis-lachuer,Ground duels
882475,alberto-reina-campos,Tackling
882475,alberto-reina-campos,Ground duels
588572,unai-bustinza,Ground duels
1398529,addai-emmanuel,High pressing
1031543,jacobo-gonzalez,Direct free kicks
966300,iago-lopez-carracedo,Ground duels
966300,iago-lopez-carracedo,Tackling
605512,sergio-molina,Long balls
1021217,carlo-adriano-garcia,Positioning
1021217,carlo-adriano-garcia,Tackling
1021217,carlo-adriano-garcia,High pressing
839956,erling-haaland,Finishing
839956,erling-haaland,Positioning
839956,erling-haaland,Penalty taking
944656,julian-alvarez,Direct free kicks
944656,julian-alvarez,Long balls
944656,julian-alvarez,Passing
934386,jeremy-doku,Ground duels
934386,jeremy-doku,Playmaking
934386,jeremy-doku,Passing
70996,kevin-de-bruyne,Playmaking
70996,kevin-de-bruyne,High pressing
70996,kevin-de-bruyne,Long shots
859765,phil-foden,Passing
859765,phil-foden,Direct free kicks
859765,phil-foden,Long shots
331209,bernardo-silva,Passing
331209,bernardo-silva,High pressing
331209,bernardo-silva,Playmaking
827606,rodri,Long balls
827606,rodri,Playmaking
827606,rodri,High pressing
189061,jack-grealish,Long balls
189061,jack-grealish,Ground duels
189061,jack-grealish,Passing
136710,mateo-kovacic,Playmaking
945122,matheus-nunes,Long balls
945122,matheus-nunes,Passing
786028,kalvin-phillips,Long balls
1065216,oscar-bobb,Passing
1065216,oscar-bobb,High pressing
138892,joao-cancelo,Ground duels
138892,joao-cancelo,Long balls
964994,josko-gvardiol,Long balls
964994,josko-gvardiol,Ground duels
318941,ruben-dias,Ground duels
152077,john-stones,Long balls
149663,nathan-ake,Ground duels
383560,manuel-akanji,Long balls
383560,manuel-akanji,Ground duels
125274,stefan-ortega,Reflexes
934235,bukayo-saka,Positioning
934235,bukayo-saka,Playmaking
934235,bukayo-saka,Penalty taking
794839,gabriel-jesus,High pressing
922573,gabriel-martinelli,Passing
922573,gabriel-martinelli,Long balls
135666,leandro-trossard,Finishing
836705,kai-havertz,High pressing
547410,martin-odegaard,Passing
547410,martin-odegaard,Playmaking
547410,martin-odegaard,High pressing
316148,thomas-partey,High pressing
856714,declan-rice,Positioning
856714,declan-rice,Consistency
856714,declan-rice,Long balls
132874,jorginho,Ground duels
132874,jorginho,Long balls
904835,fabio-vieira,Passing
901892,albert-sambi-lokonga,Long balls
901892,albert-sambi-lokonga,Ground duels
941168,william-saliba,Ground duels
287643,oleksandr-zinchenko,Long balls
869792,gabriel-magalhaes,Ground duels
804434,tomiyasu-takehiro,Ground duels
366592,kieran-tierney,Ground duels
581310,david-raya,Handling
159665,mohamed-salah,Finishing
159665,mohamed-salah,High pressing
159665,mohamed-salah,Playmaking
883537,luis-diaz,Passing
883537,luis-diaz,High pressing
883537,luis-diaz,Long balls
862967,cody-gakpo,High pressing
862967,cody-gakpo,Consistency
862967,cody-gakpo,Positioning
606164,diogo-jota,Finishing
606164,diogo-jota,Positioning
895324,alexis-mac-allister,Penalty taking
895324,alexis-mac-allister,High pressing
895324,alexis-mac-allister,Playmaking
869856,dominik-szoboszlai,Playmaking
869856,dominik-szoboszlai,Long balls
869856,dominik-szoboszlai,Passing
955245,harvey-elliott,Consistency
955245,harvey-elliott,Passing
955245,harvey-elliott,Long shots
904897,ryan-gravenberch,Passing
1142636,stefan-bajcetic,Long balls
991604,fabio-carvalho,Passing
795064,trent-alexander-arnold,Direct free kicks
795064,trent-alexander-arnold,High pressing
151545,virgil-van-dijk,Ground duels
151545,virgil-van-dijk,Aerial duels
826215,ibrahima-konate,Ground duels
826215,ibrahima-konate,Aerial duels
786259,konstantinos-tsimikas,Passing
318927,joe-gomez,Aerial duels
1003339,jarell-quansah,Ground duels
920393,nathaniel-phillips,Aerial duels
924378,sepp-van-den-berg,Aerial duels
924378,sepp-van-den-berg,Consistency
924378,sepp-van-den-berg,Positioning
243609,alisson,Long shots saving
243609,alisson,Handling
827362,caoimhin-kelleher,Reflexes
827362,caoimhin-kelleher,Long shots saving
555386,ollie-watkins,Positioning
855817,diaby-moussa,Playmaking
996919,samuel-iling-junior,Positioning
808590,leon-bailey,Playmaking
808590,leon-bailey,Long balls
250223,john-mcginn,Playmaking
250223,john-mcginn,Long balls
250223,john-mcginn,High pressing
98435,ross-barkley,High pressing
98435,ross-barkley,Playmaking
98435,ross-barkley,Long balls
1087316,enzo-barrenechea,Positioning
948261,morgan-rogers,Playmaking
827679,ezri-konsa,Ground duels
158263,emiliano-martinez,Consistency
966874,joe-gauci,Consistency
966874,joe-gauci,Penalty saving
966874,joe-gauci,High claims
111505,heung-min-son,Direct free kicks
111505,heung-min-son,Long shots
111505,heung-min-son,Finishing
1116987,alejo-veliz,Positioning
356398,james-maddison,High pressing
356398,james-maddison,Playmaking
356398,james-maddison,Passing
798835,lo-celso-giovani,Long balls
798835,lo-celso-giovani,Passing
798835,lo-celso-giovani,Ground duels
1002711,pape-matar-sarr,High pressing
928124,dejan-kulusevski,Playmaking
928124,dejan-kulusevski,High pressing
844842,yves-bissouma,Tackling
844842,yves-bissouma,Positioning
844842,yves-bissouma,Long balls
149593,pierre-emile-hojbjerg,Long balls
149593,pierre-emile-hojbjerg,High pressing
910026,bryan-gil,Passing
1391251,bergvall-lucas,Long balls
1391251,bergvall-lucas,Passing
829932,cristian-romero,Ground duels
829932,cristian-romero,Tackling
829932,cristian-romero,Consistency
997103,radu-dragusin,Aerial duels
997103,radu-dragusin,Ground duels
856123,emerson-royal,Ground duels
998247,micky-van-de-ven,Ground duels
858195,sergio-reguilon,Ground duels
94758,ben-davies,Ground duels
553606,guglielmo-vicario,Long shots saving
553606,guglielmo-vicario,High claims
78893,romelu-lukaku,Finishing
78893,romelu-lukaku,Anchor play
769333,christopher-nkunku,Passing
769333,christopher-nkunku,Direct free kicks
769333,christopher-nkunku,Positioning
1085381,nicolas-jackson,High pressing
974505,enzo-fernandez,Playmaking
974505,enzo-fernandez,Long balls
982780,cole-palmer,Long shots
982780,cole-palmer,Penalty taking
982780,cole-palmer,Playmaking
138534,raheem-sterling,Direct free kicks
138534,raheem-sterling,High pressing
987650,moises-caicedo,Tackling
987650,moises-caicedo,Long balls
987650,moises-caicedo,Positioning
904970,conor-gallagher,High pressing
904970,conor-gallagher,Long balls
966547,noni-madueke,Passing
1105779,santos-andrey,Ground duels
1105779,santos-andrey,Positioning
1016788,cesare-casadei,Aerial duels
1048916,lesley-ugochukwu,Long balls
861970,dewsbury-hall-kiernan,High pressing
861970,dewsbury-hall-kiernan,Playmaking
1087359,renato-veiga,Positioning
885908,reece-james,Passing
885908,reece-james,Long balls
885908,reece-james,Ground duels
794939,marc-cucurella,Tackling
794939,marc-cucurella,Ground duels
996958,gusto-malo,Ground duels
996911,levi-colwill,Ground duels
996911,levi-colwill,Aerial duels
352668,tosin-adarabioyo,Aerial duels
232422,kepa-arrizabalaga,Reflexes
996903,lucas-bergstrom,High claims
823941,alexander-isak,Penalty taking
823941,alexander-isak,Finishing
333373,miguel-almiron,Positioning
333373,miguel-almiron,High pressing
333373,miguel-almiron,Passing
914902,gordon-anthony,Consistency
914902,gordon-anthony,High pressing
866469,bruno-guimaraes,High pressing
866469,bruno-guimaraes,Positioning
866469,bruno-guimaraes,Playmaking
560128,joelinton,Long balls
560128,joelinton,High pressing
560128,joelinton,Positioning
855647,harvey-barnes,Long shots
138261,ryan-fraser,Passing
190843,isaac-hayden,Aerial duels
190843,isaac-hayden,Positioning
980634,valentino-livramento,Ground duels
99090,dan-burn,Aerial duels
162653,nick-pope,Reflexes
162653,nick-pope,Handling
42209,martin-dubravka,Long shots saving
42209,martin-dubravka,Consistency
1131,john-ruddy,Consistency
1131,john-ruddy,High claims
288205,bruno-fernandes,Consistency
288205,bruno-fernandes,Playmaking
288205,bruno-fernandes,Long shots
122951,casemiro,Positioning
122951,casemiro,Playmaking
958380,antony,High pressing
958380,antony,Long balls
851100,sancho-jadon,Passing
851100,sancho-jadon,High pressing
942116,mason-greenwood,Long balls
942116,mason-greenwood,Playmaking
836694,mason-mount,Passing
836694,mason-mount,Long balls
1142175,kobbie-mainoo,Ground duels
105734,christian-eriksen,Passing
105734,christian-eriksen,Playmaking
105734,christian-eriksen,High pressing
971037,diallo-amad,Passing
971037,diallo-amad,Long balls
879346,scott-mctominay,Long balls
859999,lisandro-martinez,Ground duels
149380,harry-maguire,Aerial duels
843200,diogo-dalot,Ground duels
863653,aaron-wan-bissaka,Ground duels
863653,aaron-wan-bissaka,Tackling
787498,andre-onana,Consistency
905163,mohammed-kudus,Passing
905163,mohammed-kudus,Long balls
905163,mohammed-kudus,High pressing
839981,lucas-paqueta,Penalty taking
839981,lucas-paqueta,Playmaking
839981,lucas-paqueta,High pressing
552884,jarrod-bowen,Long shots
552884,jarrod-bowen,High pressing
847151,edson-alvarez,Positioning
161717,james-ward-prowse,Playmaking
161717,james-ward-prowse,Passing
799041,tomas-soucek,Positioning
879810,flynn-downes,Ground duels
845464,andy-irving,Penalty taking
845464,andy-irving,Playmaking
877102,nayef-aguerd,Ground duels
155997,emerson-palmieri,Tackling
155997,emerson-palmieri,Ground duels
829022,konstantinos-mavropanos,Positioning
829022,konstantinos-mavropanos,Ground duels
829022,konstantinos-mavropanos,Aerial duels
894474,max-kilman,Positioning
15479,lukasz-fabianski,Long shots saving
96531,alphonse-areola,Consistency
103045,jordan-ayew,Positioning
103045,jordan-ayew,High pressing
848276,jean-philippe-mateta,High pressing
848276,jean-philippe-mateta,Finishing
864921,eberechi-eze,Playmaking
864921,eberechi-eze,High pressing
794338,daichi-kamada,Long balls
355796,jefferson-lerma,Positioning
1109771,adam-wharton,Playmaking
1109771,adam-wharton,High pressing
870360,daniel-munoz,Tackling
870360,daniel-munoz,Positioning
870360,daniel-munoz,Ground duels
877994,marc-guehi,Ground duels
362682,joachim-andersen,Aerial duels
362682,joachim-andersen,Ground duels
988275,tyrick-mitchell,Tackling
988275,tyrick-mitchell,Ground duels
975079,joao-pedro,Penalty taking
975079,joao-pedro,Finishing
975079,joao-pedro,Positioning
794298,deniz-undav,Anchor play
794298,deniz-undav,Positioning
794298,deniz-undav,High pressing
1400106,minteh-yankuba,Positioning
1400106,minteh-yankuba,High pressing
1029018,abdallah-sima,Positioning
1471095,osman-ibrahim,High pressing
1110842,simon-adingra,Playmaking
1117025,facundo-buonanotte,Passing
1117025,facundo-buonanotte,High pressing
907668,gilmour-billy,Long balls
48480,pascal-gross,Playmaking
984602,kacper-kozlowski,High pressing
1005706,moran-andrew,Playmaking
1004556,marc-leonard,Tackling
1004556,marc-leonard,Long shots
1004556,marc-leonard,Positioning
914691,lamptey-tariq,Ground duels
962012,jan-paul-van-hecke,Ground duels
219572,joel-veltman,Ground duels
216308,adam-webster,Aerial duels
1014429,ed-turns,Ground duels
994363,bart-verbruggen,Consistency
994363,bart-verbruggen,Handling
994363,bart-verbruggen,Long shots saving
1005800,carl-rushworth,Reflexes
361420,dominic-solanke,High pressing
361420,dominic-solanke,Positioning
913942,romain-faivre,Passing
298366,kieffer-moore,Aerial duels
298366,kieffer-moore,Positioning
1106451,dango-ouattara,Ground duels
851596,justin-kluivert,High pressing
800419,tyler-adams,Tackling
800419,tyler-adams,Positioning
800419,tyler-adams,Ground duels
1104986,alex-scott,High pressing
895576,marcus-tavernier,High pressing
548188,lewis-cook,Positioning
548188,lewis-cook,High pressing
1097425,milos-kerkez,Ground duels
1023567,illia-zabarnyi,Ground duels
943645,max-aarons,Ground duels
1156586,james-hill,Ground duels
84844,neto,High claims
856720,mark-travers,Consistency
1000379,alex-paulsen,Consistency
1000379,alex-paulsen,High claims
1000379,alex-paulsen,Handling
